Date,BTC_Price,BTC_Volume,ETH_Price,ETH_Volume,NVDA_Close,NVDA_Volume,AMD_Close,AMD_Volume,INTC_Close,INTC_Volume,GPU_Stock_Index,GPU_Launch_Dates
2021-02-21,57539.9453125,51897585191,1935.60107421875,23626547717,14.88547134399414,,89.58000183105469,,57.30839157104492,,394.87735861457304,0
2021-02-22,54207.3203125,92052420332,1781.992919921875,42409646036,14.316290855407715,325884000.0,85.37000274658203,36930200.0,55.21651077270508,32288200.0,378.1604764963625,0
2021-02-23,48824.42578125,106102492824,1570.2039794921875,52029864713,14.103124618530273,391780000.0,84.73999786376953,49720900.0,55.589420318603516,27374600.0,374.481593359204,0
2021-02-24,49705.33203125,63695521388,1626.57568359375,31329000537,14.459144592285156,448320000.0,86.94000244140625,40821200.0,57.47209930419922,24669900.0,384.300855453388,0
2021-02-25,47093.8515625,54506565949,1475.7037353515625,24481681873,13.27092170715332,824436000.0,82.41999816894531,54625100.0,54.93456268310547,36394000.0,359.37377499017026,1
2021-02-26,46339.76171875,350967941479,1446.03369140625,31435997881,13.676800727844238,500932000.0,84.51000213623047,48962900.0,55.28017044067383,38216800.0,368.79116675275736,0
2021-02-27,46188.453125,45910946382,1459.97314453125,20742103233,13.676800727844238,,84.51000213623047,,55.28017044067383,,368.79116675275736,0
2021-02-28,45137.76953125,53443887451,1416.0489501953125,27637026080,13.676800727844238,,84.51000213623047,,55.28017044067383,,368.79116675275736,0
2021-03-01,49631.2421875,53891300112,1564.7076416015625,24032838645,13.803699493408203,353184000.0,86.38999938964844,32746200.0,57.19015121459961,28495400.0,375.23050551507293,0
2021-03-02,48378.98828125,47530897720,1492.6087646484375,22523669722,13.369400978088379,264116000.0,84.12999725341797,34828200.0,55.69855499267578,23320000.0,364.54973470321454,0
2021-03-03,50538.2421875,53220811975,1575.8531494140625,22674780680,12.769554138183594,377592000.0,80.86000061035156,43541000.0,54.47980499267578,28740400.0,349.8974553541232,0
